Your Hand,Your Hand Type,Opponent k,Naive Win %,Bayesian Win %,Δ (Bayes − Naive) %,P(Opp Stronger) %,Most Likely Opp Type
Ac Jh Jd Td W,Three of a Kind,2,78.62,84.26,5.64,15.74,Pair
Ac Jh Jd Td W,Three of a Kind,3,78.62,88.16,9.54,11.84,Pair
Ac Jh Jd Td W,Three of a Kind,4,78.62,81.79,3.17,18.21,Pair
Ac Jh Jd Td W,Three of a Kind,5,78.62,78.62,0.00,21.38,Pair
Ac Jh Jd Th Tc,Two Pair,0,33.52,37.35,3.83,62.58,Pair
Ac Jh Jd Th Tc,Two Pair,1,33.52,40.05,6.54,59.87,Pair
Ac Jh Jd Th Tc,Two Pair,2,33.52,38.42,4.90,61.51,Pair
Ac Jh Jd Th Tc,Two Pair,3,33.52,64.51,30.99,35.47,Pair
Ac Jh Jd Th Tc,Two Pair,4,33.52,59.25,25.74,40.74,Pair
Ac Jh Jd Th Tc,Two Pair,5,33.52,33.52,0.00,66.41,Pair
Ac Jh Jd Th Td,Two Pair,0,33.52,37.35,3.83,62.58,Pair
Ac Jh Jd Th Td,Two Pair,1,33.52,40.05,6.54,59.87,Pair
Ac Jh Jd Th Td,Two Pair,2,33.52,38.42,4.90,61.51,Pair
Ac Jh Jd Th Td,Two Pair,3,33.52,64.51,30.99,35.47,Pair
Ac Jh Jd Th Td,Two Pair,4,33.52,59.25,25.74,40.74,Pair
Ac Jh Jd Th Td,Two Pair,5,33.52,33.52,0.00,66.41,Pair
Ac Jh Jd Th W,Three of a Kind,0,78.62,82.68,4.07,17.32,Pair
Ac Jh Jd Th W,Three of a Kind,1,78.62,84.18,5.56,15.82,Pair
Ac Jh Jd Th W,Three of a Kind,2,78.62,84.26,5.64,15.74,Pair
Ac Jh Jd Th W,Three of a Kind,3,78.62,88.16,9.54,11.84,Pair
Ac Jh Jd Th W,Three of a Kind,4,78.62,81.79,3.17,18.21,Pair
Ac Jh Jd Th W,Three of a Kind,5,78.62,78.62,0.00,21.38,Pair
Ac Jh Jd Ts Tc,Two Pair,0,33.52,37.32,3.81,62.60,Pair
